rid,dateTime,data
rid-sak0hini7hg,1613513967637,246
rid-7s4q165tua8,1613513967637,243
rid-gdgndfc1c1g,1613513967637,245
rid-8qfq7tfeau,1613513968638,237
rid-07cf322chh8,1613513968639,234
rid-h0u3b7nmh2,1613513968639,236
rid-bbvbb9hkdb,1613513968639,234
rid-boqpq6fet2g,1613513968639,235
rid-i3ruma3pgf,1613513969638,234
rid-hfvs92jrlfo,1613513969639,227
rid-o7psvdfnrdg,1613513969639,232
rid-lqoiribq0u,1613513969639,233
rid-n5f27b1ptio,1613513969639,238
rid-lj3tmtihnm8,1613513970650,240
rid-81gmtavh74g,1613513970650,238
rid-7ge0n8bli1o,1613513970650,247
rid-qekc3q07vj,1613513970650,239
rid-2qprejud8vo,1613513970650,241
rid-ijev98sdo48,1613513971651,233
rid-o4as11nngjo,1613513971651,232
rid-f53bgm8t9l8,1613513971652,229
rid-4ih2qef22eg,1613513971652,231
rid-ho7rf9um31o,1613513971652,230
rid-n6okc9hp2e8,1613513972663,240
rid-hfo9mu4ss88,1613513972663,244
rid-bpljhm2lv4,1613513972664,241
rid-enl7qg73d1o,1613513972664,243
rid-5risc2m95i8,1613513972664,241
rid-l5snrp7dqp,1613513973675,246
rid-la4igmhbk2g,1613513973675,244
rid-g3sd21gh1b8,1613513973676,245
rid-3c3j4ondnh,1613513973676,241
rid-t11f9prqmjo,1613513973676,247
rid-mrfa52pm7cg,1613513974677,252
rid-vt3qigtnk28,1613513974677,252
rid-qmphie2kdg,1613513974677,251
rid-jteeqqqgi2o,1613513974677,253
rid-aigf4f4u8po,1613513974677,251
rid-jkte1bcd6gg,1613513975690,237
rid-0lbcr6cpev,1613513975690,238
rid-aurtj7tne4o,1613513975690,240
rid-lo01rue284o,1613513975690,239
rid-lcu0d98nfhg,1613513975690,238
rid-plnrr45793o,1613513976704,214
rid-d3o6s7a7phg,1613513976704,211
rid-pqnlhlj1mc8,1613513976704,227
rid-v5249fhm8b8,1613513976704,213
rid-lrb9ucjr64g,1613513976705,212
rid-nu9c3k00cdo,1613513977718,252
rid-batvp5vvano,1613513977718,250
rid-qc6lkr285d8,1613513977719,252
rid-1kn7629h48o,1613513977719,253
rid-fk452him5pg,1613513977719,251
rid-6qkod38v768,1613513978731,197
